id,C,Si,Mn,P,Ni,Cr,Mo,S,CR,TT,YS,UTS,EL,RA,IS,label1,label2,label3
71,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,23,620,821,967,20,59.5,64,3,7,7
72,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,8,580,967,1070,18,52.5,45,3,2,5
73,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,8,600,924,1034,20,57,60,3,2,6
74,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,3,580,871,1049,19,55,38,3,0,5
75,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,3,600,824,985,22,61.5,65,3,0,6
76,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,3,620,788,943,22,61.5,69,3,0,7
77,0.38,0.33,1.26,0.02,0.56,0.5,0.21,0.016,3,650,684,876,21,57,50,3,0,10
78,0.39,0.25,1.37,0.025,0.73,0.48,0.18,0.016,7,650,778,885,22,58,81,4,1,10
79,0.39,0.33,1.47,0.02,0.73,0.49,0.17,0.018,3,650,625,847,24,56,81,4,0,10
80,0.39,0.3,1.41,0.025,0.9,0.38,0.18,0.03,7,650,778,876,24,57,94,4,1,10
81,0.39,0.3,1.36,0.036,1.08,0.35,0.21,0.034,7,630,791,909,22,56,72,4,1,9
82,0.39,0.29,1.45,0.035,0.87,0.35,0.17,0.031,38,640,730,865,23,58,74,4,9,9
83,0.39,0.29,1.45,0.035,0.87,0.35,0.17,0.031,7,630,836,918,20,59,43,4,1,9
84,0.4,0.2,1.36,0.035,1,0.53,0.23,0.025,38,600,943,1025,20.5,55,65,5,9,6
85,0.4,0.32,1.46,0.033,0.77,0.45,0.2,0.025,54,600,955,1034,20,52.5,42,5,11,6
86,0.4,0.3,1.51,0.034,0.89,0.21,0.16,0.036,38,600,964,1016,19.5,51,66,5,9,6
87,0.4,0.3,1.51,0.034,0.89,0.21,0.16,0.036,9,550,955,1064,17,48.5,29,5,3,3
